,PARTNERS_cat,TYPE_cat,THORAX_num,SLEEP_num,class_num
0,8,0,35.0,0.64,22.0
1,8,0,37.0,0.68,9.0
2,8,0,49.0,0.68,49.0
3,8,0,46.0,0.72,1.0
4,8,0,63.0,0.72,23.0
5,8,0,39.0,0.76,83.0
6,8,0,46.0,0.76,23.0
7,8,0,56.0,0.76,15.0
8,8,0,63.0,0.76,9.0
9,8,0,65.0,0.76,81.0
10,8,0,56.0,0.8,12.0
11,8,0,65.0,0.8,15.0
12,8,0,70.0,0.8,37.0
13,8,0,63.0,0.84,24.0
14,8,0,65.0,0.84,26.0
15,8,0,70.0,0.84,17.0
16,8,0,77.0,0.84,14.0
17,8,0,81.0,0.84,14.0
18,8,0,86.0,0.84,6.0
19,8,0,70.0,0.88,25.0
20,8,0,70.0,0.88,18.0
21,8,0,77.0,0.92,26.0
22,8,0,77.0,0.92,24.0
23,8,0,81.0,0.92,29.0
24,8,0,77.0,0.94,27.0
25,0,9,40.0,0.64,18.0
26,0,9,37.0,0.7,6.0
27,0,9,44.0,0.72,19.0
28,0,9,47.0,0.72,7.0
29,0,9,47.0,0.72,16.0
30,0,9,47.0,0.76,13.0
31,0,9,68.0,0.78,35.0
32,0,9,47.0,0.8,2.0
33,0,9,54.0,0.84,35.0
34,0,9,61.0,0.84,6.0
35,0,9,71.0,0.84,15.0
36,0,9,75.0,0.84,14.0
37,0,9,89.0,0.84,18.0
38,0,9,58.0,0.88,50.0
39,0,9,59.0,0.88,25.0
40,0,9,62.0,0.88,10.0
41,0,9,79.0,0.88,33.0
42,0,9,96.0,0.88,43.0
43,0,9,58.0,0.92,35.0
44,0,9,62.0,0.92,17.0
45,0,9,70.0,0.92,27.0
46,0,9,72.0,0.92,22.0
47,0,9,75.0,0.92,16.0
48,0,9,96.0,0.92,20.0
49,0,9,75.0,0.94,37.0
50,1,0,46.0,0.64,23.0
51,1,0,42.0,0.68,4.0
52,1,0,65.0,0.72,20.0
53,1,0,46.0,0.76,42.0
54,1,0,58.0,0.76,9.0
55,1,0,42.0,0.8,32.0
56,1,0,48.0,0.8,66.0
57,1,0,58.0,0.8,28.0
58,1,0,50.0,0.82,10.0
59,1,0,80.0,0.82,4.0
60,1,0,63.0,0.84,12.0
61,1,0,65.0,0.84,17.0
62,1,0,70.0,0.84,12.0
63,1,0,70.0,0.84,23.0
64,1,0,72.0,0.84,40.0
65,1,0,97.0,0.84,18.0
66,1,0,46.0,0.88,10.0
67,1,0,56.0,0.88,38.0
68,1,0,70.0,0.88,7.0
69,1,0,70.0,0.88,23.0
70,1,0,72.0,0.88,36.0
71,1,0,76.0,0.88,9.0
72,1,0,90.0,0.88,21.0
73,1,0,76.0,0.92,62.0
74,1,0,92.0,0.92,36.0
75,1,1,21.0,0.68,23.0
76,1,1,40.0,0.68,62.0
77,1,1,44.0,0.72,28.0
78,1,1,54.0,0.76,18.0
79,1,1,36.0,0.78,10.0
80,1,1,40.0,0.8,28.0
81,1,1,56.0,0.8,22.0
82,1,1,60.0,0.8,29.0
83,1,1,48.0,0.84,15.0
84,1,1,53.0,0.84,73.0
85,1,1,60.0,0.84,10.0
86,1,1,60.0,0.84,5.0
87,1,1,65.0,0.84,13.0
88,1,1,68.0,0.84,27.0
89,1,1,60.0,0.88,20.0
90,1,1,81.0,0.88,21.0
91,1,1,81.0,0.88,12.0
92,1,1,48.0,0.9,49.0
93,1,1,48.0,0.9,17.0
94,1,1,56.0,0.9,22.0
95,1,1,68.0,0.9,71.0
96,1,1,75.0,0.9,17.0
97,1,1,81.0,0.9,10.0
98,1,1,48.0,0.92,24.0
99,1,1,68.0,0.92,18.0
100,8,1,16.0,0.64,34.0
101,8,1,19.0,0.64,6.0
102,8,1,19.0,0.68,4.0
103,8,1,32.0,0.72,22.0
104,8,1,33.0,0.72,28.0
105,8,1,33.0,0.74,31.0
106,8,1,30.0,0.76,16.0
107,8,1,42.0,0.76,27.0
108,8,1,42.0,0.76,8.0
109,8,1,33.0,0.78,32.0
110,8,1,26.0,0.8,20.0
111,8,1,30.0,0.8,35.0
112,8,1,40.0,0.82,12.0
113,8,1,54.0,0.82,14.0
114,8,1,34.0,0.84,17.0
115,8,1,34.0,0.84,29.0
116,8,1,47.0,0.84,31.0
117,8,1,47.0,0.84,6.0
118,8,1,42.0,0.88,30.0
119,8,1,47.0,0.88,27.0
120,8,1,54.0,0.88,40.0
121,8,1,54.0,0.88,19.0
122,8,1,56.0,0.88,8.0
123,8,1,60.0,0.88,8.0
124,8,1,44.0,0.92,15.0
