,gnp_per_capita_num,hdi_num
0,20,0.116
1,15,0.143
2,13,0.15
3,27,0.15
4,4,0.157
5,31,0.162
6,23,0.2
7,40,0.208
8,17,0.212
9,28,0.212
10,18,0.235
11,3,0.236
12,10,0.239
13,7,0.25
14,32,0.255
15,29,0.258
16,8,0.273
17,43,0.274
18,1,0.282
19,5,0.294
20,26,0.304
21,58,0.304
22,6,0.318
23,36,0.322
24,47,0.328
25,42,0.333
26,24,0.337
27,21,0.354
28,34,0.356
29,37,0.36
30,39,0.369
31,52,0.393
32,59,0.395
33,60,0.404
34,12,0.413
35,33,0.423
36,25,0.439
37,14,0.44
38,50,0.471
39,2,0.471
40,64,0.474
41,30,0.481
42,19,0.481
43,48,0.489
44,49,0.501
45,9,0.506
46,93,0.525
47,104,0.535
48,44,0.548
49,11,0.561
50,53,0.563
51,45,0.576
52,35,0.58
53,41,0.591
54,63,0.592
55,16,0.608
56,91,0.609
57,69,0.646
58,56,0.651
59,70,0.657
60,97,0.66
61,79,0.691
62,51,0.699
63,107,0.702
64,46,0.714
65,22,0.716
66,103,0.719
67,82,0.731
68,78,0.735
69,57,0.737
70,54,0.743
71,71,0.751
72,76,0.752
73,74,0.753
74,68,0.758
75,96,0.759
76,127,0.782
77,55,0.783
78,65,0.784
79,85,0.784
80,75,0.788
81,67,0.789
82,38,0.789
83,61,0.79
84,80,0.8
85,72,0.801
86,62,0.824
87,122,0.824
88,95,0.861
89,84,0.863
90,81,0.876
91,66,0.877
92,88,0.883
93,100,0.885
94,94,0.899
95,110,0.899
96,92,0.903
97,83,0.91
98,89,0.91
99,90,0.913
100,87,0.915
101,86,0.916
102,77,0.916
103,99,0.918
104,101,0.92
105,102,0.931
106,73,0.931
107,111,0.936
108,98,0.946
109,115,0.953
110,108,0.957
111,129,0.961
112,118,0.961
113,106,0.961
114,105,0.965
115,116,0.966
116,112,0.966
117,109,0.966
118,120,0.967
119,121,0.967
120,113,0.97
121,123,0.971
122,119,0.974
123,114,0.978
124,128,0.983
125,124,0.983
126,117,0.984
127,130,0.986
128,125,0.987
129,126,0.996
