,SPEED1_num,TOTAL_num,SPEED2_num,NUMBER2_num,SENS_num,TIME_num,T20BOLT_num
0,2,10,1,0,6,5.7,11.4
1,2,10,1,0,10,17.56,35.12
2,2,10,1,2,6,11.28,22.56
3,2,10,1,2,10,8.39,16.78
4,2,10,2,0,6,16.67,33.34
5,2,10,2,0,10,12.04,24.08
6,2,10,2,2,6,9.22,18.44
7,2,10,2,2,10,3.94,7.88
8,2,30,1,0,6,27.02,18.01
9,2,30,1,0,10,19.46,12.97
10,2,30,1,2,6,18.54,12.36
11,2,30,1,2,10,25.7,17.13
12,2,30,2,0,6,19.02,12.68
13,2,30,2,0,10,22.39,14.93
14,2,30,2,2,6,23.85,15.9
15,2,30,2,2,10,30.12,20.08
16,6,10,1,0,6,13.42,26.84
17,6,10,1,0,10,34.26,68.52
18,6,10,1,2,6,39.74,79.48
19,6,10,1,2,10,10.6,21.2
20,6,10,2,0,6,28.89,57.78
21,6,10,2,0,10,35.61,71.22
22,6,10,2,2,6,17.2,34.4
23,6,10,2,2,10,6.0,12.0
24,6,30,1,0,6,129.45,86.3
25,6,30,1,0,0,107.38,71.59
26,6,30,1,2,6,111.66,74.44
27,6,30,1,2,0,109.1,72.73
28,6,30,2,0,6,100.43,66.95
29,6,30,2,0,0,109.28,72.85
30,6,30,2,2,6,106.46,70.97
31,6,30,2,2,0,134.01,89.34
32,4,20,2,1,8,10.78,10.78
33,4,20,2,1,8,9.39,9.39
34,4,20,2,1,8,9.84,9.84
35,4,20,2,1,8,13.94,13.94
36,4,20,2,1,8,12.33,12.33
37,4,20,2,1,8,7.32,7.32
38,4,20,2,1,8,7.91,7.91
39,4,20,2,1,8,15.58,15.58
