,eggs_cat,legs_num,predator_cat,feathers_cat,aquatic_cat,breathes_cat,milk_cat,hair_cat
0,False,4.0,True,False,False,True,True,True
1,False,4.0,False,False,False,True,True,True
2,True,0.0,True,False,True,False,False,False
3,False,4.0,True,False,False,True,True,True
4,False,4.0,True,False,False,True,True,True
5,False,4.0,False,False,False,True,True,True
6,False,4.0,False,False,False,True,True,True
7,True,0.0,False,False,True,False,False,False
8,True,0.0,True,False,True,False,False,False
9,False,4.0,False,False,False,True,True,True
10,False,4.0,True,False,False,True,True,True
11,True,2.0,False,True,False,True,False,False
12,True,0.0,True,False,True,False,False,False
13,True,0.0,True,False,False,False,False,False
14,True,4.0,True,False,True,False,False,False
15,True,6.0,True,False,True,False,False,False
16,True,2.0,True,True,False,True,False,False
17,False,4.0,False,False,False,True,True,True
18,True,0.0,True,False,True,False,False,False
19,False,0.0,True,False,True,True,True,False
20,True,2.0,False,True,False,True,False,False
21,True,2.0,False,True,True,True,False,False
22,False,4.0,False,False,False,True,True,True
23,True,2.0,False,True,False,True,False,False
24,True,6.0,False,False,False,True,False,False
25,True,4.0,True,False,True,True,False,False
26,True,4.0,True,False,True,True,False,False
27,False,2.0,False,False,False,True,True,True
28,False,4.0,False,False,False,True,True,True
29,False,2.0,True,False,False,True,True,True
30,True,6.0,False,False,False,True,False,False
31,False,4.0,False,False,False,True,True,True
32,False,2.0,False,False,False,True,True,True
33,True,2.0,True,True,True,True,False,False
34,True,0.0,False,False,True,False,False,False
35,False,4.0,False,False,False,True,True,True
36,False,4.0,False,False,False,True,True,True
37,True,2.0,True,True,False,True,False,False
38,True,0.0,True,False,True,False,False,False
39,True,6.0,False,False,False,True,False,True
40,True,6.0,False,False,False,True,False,True
41,True,2.0,True,True,False,True,False,False
42,True,6.0,True,False,False,True,False,False
43,True,2.0,False,True,False,True,False,False
44,False,4.0,True,False,False,True,True,True
45,False,4.0,True,False,False,True,True,True
46,True,6.0,True,False,True,False,False,False
47,False,4.0,True,False,False,True,True,True
48,False,4.0,True,False,True,True,True,True
49,False,4.0,True,False,False,True,True,True
50,False,4.0,True,False,False,True,True,True
51,True,6.0,False,False,False,True,False,True
52,True,4.0,True,False,True,True,False,False
53,True,8.0,True,False,True,False,False,False
54,False,4.0,True,False,False,True,True,True
55,False,4.0,False,False,False,True,True,True
56,True,2.0,False,True,False,True,False,False
57,True,2.0,False,True,False,True,False,False
58,True,2.0,True,True,True,True,False,False
59,True,2.0,False,True,False,True,False,False
60,True,0.0,True,False,True,False,False,False
61,True,0.0,True,False,True,False,False,False
62,True,0.0,True,False,False,True,False,False
63,True,4.0,True,False,True,True,True,True
64,False,4.0,True,False,False,True,True,True
65,False,4.0,False,False,False,True,True,True
66,False,0.0,True,False,True,True,True,False
67,False,4.0,True,False,False,True,True,True
68,False,4.0,True,False,False,True,True,True
69,False,4.0,True,False,False,True,True,True
70,False,4.0,False,False,False,True,True,True
71,True,2.0,True,True,False,True,False,False
72,False,8.0,True,False,False,True,False,False
73,True,0.0,False,False,True,False,False,False
74,False,0.0,True,False,True,True,True,True
75,False,2.0,True,False,True,True,True,True
76,False,0.0,True,False,True,False,False,False
77,True,0.0,True,False,True,False,False,False
78,True,2.0,True,True,True,True,False,False
79,True,2.0,True,True,True,True,False,False
80,True,0.0,True,False,False,True,False,False
81,True,0.0,False,False,False,True,False,False
82,True,0.0,False,False,True,False,False,False
83,True,2.0,False,True,False,True,False,False
84,False,2.0,False,False,False,True,True,True
85,True,5.0,True,False,True,False,False,False
86,True,0.0,True,False,True,False,False,False
87,True,2.0,False,True,True,True,False,False
88,True,6.0,False,False,False,True,False,False
89,True,4.0,False,False,True,True,False,False
90,True,4.0,False,False,False,True,False,False
91,True,4.0,True,False,False,True,False,False
92,True,0.0,True,False,True,False,False,False
93,False,2.0,False,False,False,True,True,True
94,False,4.0,False,False,False,True,True,True
95,True,2.0,True,True,False,True,False,False
96,False,2.0,False,False,False,True,True,True
97,True,6.0,False,False,False,True,False,True
98,False,4.0,True,False,False,True,True,True
99,True,0.0,False,False,False,True,False,False
100,True,2.0,False,True,False,True,False,False
